Borough,Primary Property Type - Self Selected,Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),score,TaxBlock,TaxLotNum
1.0,1.0,1939.0,2.0,100.0,1.0,79.9,3.5,0.0,106.2,8906.3,1121931.8,1893.4,321464.0,72.0,2180.0,614.0
1.0,1.0,1939.0,1.0,100.0,1.0,79.0,4.0,0.0,109.1,5604.4,820016.2,1204.4,204720.0,67.0,2180.0,614.0
1.0,1.0,1911.0,2.0,100.0,1.0,82.4,6.1,0.5,127.9,98264.5,1156269.9,847.5,189766.0,100.0,1390.0,37.0
1.0,1.0,1911.0,1.0,100.0,2.0,23.4,6.8,0.5,73.3,44947.2,894049.0,286.8,130629.0,100.0,1390.0,37.0
1.0,1.0,1911.0,1.0,100.0,2.0,17.4,4.8,0.0,52.3,601.0,262377.2,88.8,54913.0,100.0,1391.0,34.0
1.0,1.0,1973.0,2.0,100.0,1.0,58.8,10.7,0.2,138.3,39028.3,1887619.4,765.3,175885.0,40.0,1694.0,3.0
4.0,1.0,1952.0,6.0,100.0,1.0,25.1,4.9,0.1,61.4,19198.0,1121175.7,464.0,228570.0,99.0,10590.0,100.0
4.0,1.0,1952.0,8.0,100.0,1.0,43.4,5.7,0.2,86.6,72683.0,1749805.6,948.1,304760.0,88.0,10593.0,2.0
1.0,1.0,1950.0,1.0,100.0,1.0,0.5,5.1,0.0,0.5,280.0,509022.1,1.5,54138.0,100.0,1867.0,74.0
1.0,1.0,1908.0,1.0,100.0,1.0,5.8,0.7,0.0,10.9,1468.2,28872.0,17.5,57300.0,100.0,1885.0,40.0
1.0,1.0,1908.0,1.0,100.0,1.0,6.8,1.2,0.0,15.8,1157.0,50598.0,22.2,42128.0,100.0,1885.0,43.0
1.0,1.0,1924.0,1.0,100.0,1.0,34.2,10.0,0.5,107.3,44947.2,1403199.9,444.3,140056.0,86.0,1885.0,7501.0
1.0,1.0,1935.0,1.0,100.0,1.0,0.0,5.1,0.0,0.0,0.0,509022.1,0.0,169396.0,100.0,1886.0,1.0
1.0,1.0,1925.0,1.0,100.0,1.0,0.0,5.1,0.0,0.0,0.0,509022.1,0.0,105156.0,100.0,1961.0,1.0
1.0,2.0,1961.0,1.0,100.0,1.0,73.4,21.5,0.5,230.3,44947.2,5374399.3,1701.7,249978.0,73.0,1961.0,1.0
1.0,2.0,1910.0,1.0,100.0,1.0,69.9,20.5,0.5,219.5,44947.2,8677598.9,2747.6,423521.0,71.0,1961.0,39.0
1.0,1.0,1980.0,1.0,100.0,1.0,0.0,5.1,0.0,0.0,0.0,509022.1,0.0,352040.0,100.0,1961.0,57.0
1.0,1.0,1909.0,1.0,100.0,1.0,0.1,5.1,0.0,0.1,58.0,509022.1,0.3,53440.0,100.0,1990.0,5.0
1.0,1.0,1920.0,1.0,100.0,1.0,1.1,0.0,0.0,1.4,718.0,2849.0,4.7,74328.0,100.0,1990.0,29.0
1.0,2.0,1929.0,1.0,100.0,1.0,111.9,6.9,0.3,164.1,54480.3,1195236.2,1367.8,174348.0,84.0,2139.0,210.0
1.0,2.0,1973.0,1.0,100.0,1.0,82.4,6.7,0.5,127.9,44947.2,3238312.8,4172.5,481715.0,78.0,2139.0,250.0
1.0,2.0,1970.0,1.0,100.0,1.0,89.8,9.8,0.0,161.7,523.1,825719.4,589.9,84508.0,81.0,2139.0,275.0
1.0,1.0,1966.0,1.0,100.0,2.0,5.5,1.0,0.0,12.8,9541.6,450399.9,192.5,454925.0,100.0,524.0,66.0
1.0,1.0,1959.0,1.0,100.0,1.0,16.2,4.2,0.0,47.0,5626.8,1289309.8,437.5,306659.0,100.0,533.0,1.0
1.0,1.0,1960.0,1.0,100.0,1.0,17.5,4.6,0.0,51.1,5827.5,1482158.3,520.9,322571.0,100.0,533.0,1.0
1.0,1.0,1986.0,1.0,100.0,1.0,4.5,0.0,0.0,4.7,6459.0,0.0,34.3,144268.0,100.0,540.0,14.0
1.0,1.0,1894.0,1.0,100.0,2.0,5.4,1.2,0.0,14.0,1033.0,90560.0,34.2,76964.0,100.0,546.0,1.0
1.0,1.0,1962.0,1.0,100.0,1.0,13.0,5.1,0.1,13.6,27199.4,509022.1,136.7,209364.0,100.0,548.0,4.0
2.0,1.0,1924.0,1.0,100.0,1.0,99.2,9.9,0.5,173.9,97764.0,1976590.4,1325.9,200261.0,59.0,5933.0,425.0
1.0,1.0,1910.0,1.0,100.0,1.0,159.9,2.1,1.5,183.1,134783.5,188516.6,707.3,88332.0,61.0,1895.0,23.0
1.0,1.0,1909.0,1.0,100.0,1.0,29.8,0.9,0.0,36.4,926.0,165280.0,425.0,188572.0,100.0,1895.0,55.0
1.0,1.0,1964.0,1.0,100.0,1.0,100.8,1.0,1.0,112.8,85080.0,85080.0,478.8,87260.0,58.0,1962.0,38.0
1.0,1.0,1967.0,1.0,100.0,1.0,17.2,1.2,0.1,26.5,11775.0,105215.1,95.1,89091.0,100.0,1962.0,70.0
1.0,1.0,1910.0,1.0,100.0,1.0,5.5,1.4,0.0,15.6,399.0,69088.0,24.0,50292.0,100.0,1962.0,31.0
2.0,2.0,2007.0,1.0,100.0,1.0,132.0,23.8,0.5,308.2,1931.0,90405.9,37.3,3800.0,45.0,5141.0,810.0
3.0,1.0,1965.0,4.0,100.0,1.0,174.0,5.1,1.7,182.7,2410708.7,509022.1,12909.9,1385656.0,3.0,7250.0,1.0
4.0,2.0,1978.0,1.0,100.0,1.0,81.0,10.9,0.4,162.7,39262.7,974686.9,495.4,89506.0,80.0,9364.0,1.0
4.0,3.0,1990.0,1.0,100.0,1.0,11.6,5.1,0.1,12.1,15218.0,509022.1,78.4,131610.0,100.0,9364.0,10.0
1.0,1.0,1928.0,6.0,95.0,1.0,129.7,4.7,1.1,169.6,496299.8,2038135.5,3126.2,436115.0,17.0,2035.0,1.0
1.0,1.0,1928.0,1.0,100.0,1.0,121.2,3.2,1.1,150.1,95103.3,275487.0,551.5,86192.0,22.0,2035.0,1.0
1.0,1.0,1928.0,1.0,100.0,1.0,102.5,4.1,0.9,137.1,64321.1,301337.5,417.8,72806.0,43.0,2035.0,1.0
4.0,1.0,1953.0,12.0,100.0,1.0,34.6,7.7,0.1,91.6,59854.4,5695967.6,2200.4,735000.0,96.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,277.3,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,279.8,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,314.6,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,170.8,5.1,1.7,179.4,119577.3,509022.1,574.6,70000.0,36.0,6789.0,15.0
4.0,1.0,1953.0,1.0,100.0,1.0,142.9,5.1,1.4,150.0,100002.4,509022.1,483.3,70000.0,69.0,6789.0,15.0
4.0,1.0,1955.0,1.0,100.0,1.0,49.9,5.1,0.5,52.4,34925.7,509022.1,171.7,70000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,1.8,5.1,0.0,1.9,1289.6,509022.1,6.0,70000.0,100.0,6792.0,600.0
